MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,DEST,DEP_DELAY,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_M,DEP_TIME_M,CRS_ARR_M,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,sch_dep,sch_arr,TAXI_OUT,Cloudy,Windy,Fair,Rain,Fog,Drizzle,Snow,Wintry Mix,Freezing Rain,MONTH_sin,MONTH_cos,DAY_OF_MONTH_sin,DAY_OF_MONTH_cos,DAY_OF_WEEK_sin,DAY_OF_WEEK_cos
1,8,3,3,28,0,390,2475,880,876,1090,43,8,31,16,31,38,29.95,27,39,25,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,4,28,0,395,2475,925,922,1140,43,8,31,7,25,38,30.02,30,36,21,3,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,3,56,0,419,2586,929,924,1168,43,8,31,7,25,38,30.02,30,36,27,3,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,3,28,0,396,2475,940,930,1156,43,8,31,7,25,38,30.02,30,36,27,3,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,3,4,0,83,187,940,931,1023,43,8,31,7,25,38,30.02,30,36,18,3,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,0,4,0,96,187,955,955,1051,36,10,44,16,28,35,30.08,30,36,19,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,4,56,0,415,2586,955,958,1190,36,10,44,16,28,35,30.08,30,36,18,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,1,56,0,411,2586,975,975,1206,36,10,44,16,28,35,30.08,29,30,20,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,2,56,0,419,2586,1000,997,1239,36,10,44,16,28,35,30.08,29,30,20,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,3,4,0,81,187,999,1001,1080,36,10,44,16,28,35,30.08,29,30,14,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,4,28,0,394,2475,1015,1011,1229,35,7,40,8,22,35,30.13,29,30,14,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,1,28,0,398,2475,1020,1014,1238,35,7,40,8,22,35,30.13,29,30,23,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,4,56,0,410,2586,1025,1021,1255,35,7,40,8,22,35,30.13,31,29,28,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,3,28,0,390,2475,1050,1042,1260,35,7,40,8,22,35,30.13,31,29,21,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,2,28,0,400,2475,1045,1057,1265,35,7,40,8,22,35,30.13,31,29,30,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,1,56,0,415,2586,1080,1073,1315,32,6,44,8,24,35,30.2,31,29,19,0,1,1,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,4,28,0,391,2475,1079,1078,1290,32,6,44,8,24,35,30.2,31,29,32,0,1,1,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,1,28,0,399,2475,1110,1105,1329,32,6,44,8,24,35,30.2,38,37,35,0,1,1,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,4,4,1,82,187,1033,1138,1115,32,6,44,8,24,35,30.2,38,37,31,0,1,1,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,4,28,0,404,2475,1150,1159,1374,32,6,44,8,24,35,30.2,38,30,30,0,1,1,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,2,28,0,405,2475,1160,1159,1385,32,6,44,8,24,35,30.2,38,30,35,0,1,1,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,1,28,0,400,2475,1170,1168,1390,32,6,44,16,24,39,30.25,38,30,41,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,1,28,0,389,2475,1230,1226,1439,32,6,44,16,24,39,30.25,29,40,24,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,1,56,0,406,2586,1273,1271,59,32,62,37,16,24,33,30.29,33,32,30,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,3,28,0,394,2475,1276,1275,50,32,62,37,16,24,33,30.29,33,32,28,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,1,28,0,390,2475,1290,1285,60,32,62,37,16,24,33,30.29,33,32,24,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,8,4,0,84,187,1290,1289,1374,32,62,37,16,24,33,30.29,33,32,24,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,3,56,0,402,2586,1309,1302,91,32,62,37,16,24,33,30.29,33,32,24,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,4,28,1,391,2475,1280,1308,51,32,62,37,16,24,33,30.29,33,32,29,1,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
1,8,3,3,28,0,391,2475,1360,1354,131,31,4,42,8,21,32,30.33,21,35,26,3,1,0,0,0,0,0,0,0,0.4999999999999999,0.8660254037844387,0.9987165071710528,-0.0506491688387126,0.4338837391175582,-0.900968867902419
