MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,DEST,DEP_DELAY,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_M,CRS_ARR_M,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,sch_dep,sch_arr,TAXI_OUT,Cloudy,Windy,Fair,Rain,Fog,Drizzle,Snow,Wintry Mix,Freezing Rain,MONTH_sin,MONTH_cos,DAY_OF_MONTH_sin,DAY_OF_MONTH_cos,DAY_OF_WEEK_sin,DAY_OF_WEEK_cos
11,1,5,3,28,0,379,2475,515,714,50,29,52,15,21,30,30.0,46,19,25,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,1,0,146,760,510,656,50,29,52,15,21,30,30.0,46,19,16,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,28,0,370,2475,515,705,50,29,52,15,21,30,30.0,46,19,16,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,4,1,73,187,427,500,50,29,52,15,21,30,30.0,46,19,22,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,7,1,84,301,480,564,50,29,52,15,21,30,30.0,46,19,15,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,55,0,382,2422,525,727,50,29,52,15,21,30,30.0,46,19,15,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,0,7,1,95,301,485,580,52,28,47,16,25,32,30.02,46,19,22,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,26,1,153,828,451,604,52,28,47,16,25,32,30.02,30,18,19,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,58,0,232,1598,550,782,52,28,47,16,25,32,30.02,30,18,19,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,2,0,240,1521,555,735,52,28,47,16,25,32,30.02,30,18,14,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,4,27,1,340,2248,510,670,52,28,47,16,25,32,30.02,30,18,23,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,1,28,0,374,2475,555,749,52,28,47,16,25,32,30.02,30,18,18,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,30,0,176,944,560,736,52,28,47,16,25,32,30.02,30,18,17,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,2,1,254,1521,502,696,52,28,47,16,25,32,30.02,30,18,10,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
11,1,5,3,56,0,397,2586,562,779,52,28,47,16,25,32,30.02,30,18,15,0,1,1,0,0,0,0,0,0,-0.5000000000000004,0.8660254037844384,0.20129852008866,0.9795299412524944,-0.9749279121818236,-0.2225209339563146
